Wall time,Step,Value
1524667862.064237,6175,2.226726531982422
1524667884.5624356,6190,2.0972087383270264
1524667907.630909,6205,2.119619607925415
1524667929.9220734,6220,2.176931858062744
1524667953.0109272,6235,2.326064348220825
1524667966.7636635,6241,2.1657462120056152
1524667989.4529083,6256,2.1941652297973633
1524668011.5185235,6271,2.2012882232666016
1524668034.4277136,6286,2.2045061588287354
1524668056.380306,6301,2.1593785285949707
1524668079.5945034,6316,2.2832279205322266
1524668101.5683062,6331,2.28859806060791
1524668115.8038154,6337,2.2999279499053955
1524668138.1797326,6352,2.101062059402466
1524668161.4126208,6367,2.254199743270874
1524668183.8097506,6382,2.199467182159424
1524668206.8820024,6397,2.2802090644836426
1524668228.9389503,6412,2.1842703819274902
1524668252.0307696,6427,2.31219220161438
1524668265.758958,6433,2.2332284450531006
1524668288.65041,6448,2.1992268562316895
1524668310.85741,6463,2.1833324432373047
1524668333.8378165,6478,2.2555129528045654
1524668356.104486,6493,2.1758527755737305
1524668379.1365728,6508,2.1237573623657227
1524668401.6673598,6523,2.1250576972961426
1524668416.5606108,6529,2.2172977924346924
1524668439.4891555,6544,2.1959643363952637
1524668462.136962,6559,2.207387924194336
1524668485.0829294,6574,2.2359185218811035
1524668507.3405702,6589,2.2150611877441406
1524668530.6011357,6604,2.145777702331543
1524668553.0927105,6619,2.2073206901550293
1524668567.1797972,6625,2.102721691131592
1524668589.384077,6640,2.114206552505493
1524668612.3644452,6655,2.2063241004943848
1524668634.8611352,6670,2.2316322326660156
1524668657.0373032,6685,2.2647509574890137
1524668680.160651,6700,2.235959053039551
1524668702.3716207,6715,2.178006172180176
1524668716.6507416,6721,2.224456548690796
1524668738.7458882,6736,2.173312187194824
1524668761.5421138,6751,2.217224359512329
1524668783.973882,6766,2.2616147994995117
1524668807.252544,6781,2.1763088703155518
1524668829.5126333,6796,2.268533706665039
1524668852.5891175,6811,2.2675085067749023
1524668866.3913994,6817,2.213425874710083
1524668889.307536,6832,2.1277568340301514
1524668911.6599548,6847,2.235163688659668
1524668934.4212196,6862,2.238828659057617
1524668956.803329,6877,2.234973192214966
1524668980.0252004,6892,2.1607980728149414
1524669002.4396634,6907,2.1993114948272705
1524669017.809931,6913,2.173854351043701
1524669040.7052553,6928,2.265803813934326
1524669063.0428944,6943,2.1780126094818115
1524669085.8923917,6958,2.1358232498168945
1524669108.1750913,6973,2.1870455741882324
1524669131.1763914,6988,2.2605626583099365
1524669153.8466108,7003,2.1385717391967773
1524669168.7707608,7009,2.084211587905884
1524669190.8570642,7024,2.127528190612793
1524669213.5596232,7039,2.267503261566162
1524669235.991893,7054,2.1994261741638184
1524669259.1589134,7069,2.053361654281616
1524669281.6409485,7084,2.2237906455993652
1524669303.8668516,7099,2.1725831031799316
1524669318.6575394,7105,2.1741538047790527
1524669341.7935636,7120,2.1106014251708984
1524669364.1214461,7135,2.1747395992279053
1524669387.4563718,7150,2.097095251083374
1524669409.9641604,7165,2.1257717609405518
1524669433.0377192,7180,2.14414644241333
1524669455.1701922,7195,2.1762454509735107
